{'instruction': 4162169, 'rip': '0x180c25d09', 'access': 'read', 'address': '0x7ffe1fec10', 'size': 8, 'value': '0x0'}
{'instruction': 4162172, 'rip': '0x180c25d15', 'access': 'read', 'address': '0x7ffe1fec28', 'size': 8, 'value': '0x0'}
{'instruction': 4162172, 'rip': '0x180c25d15', 'access': 'write', 'address': '0x7ffe1fec20', 'size': 8, 'value': '0xc'}
{'instruction': 4162173, 'rip': '0x180c25d18', 'access': 'read', 'address': '0x7ffe1fec20', 'size': 8, 'value': '0x0'}
{'instruction': 4162173, 'rip': '0x180c25d18', 'access': 'write', 'address': '0x7ffe1fec18', 'size': 8, 'value': '0xc'}
{'instruction': 4162174, 'rip': '0x180c25d1b', 'access': 'read', 'address': '0x7ffe1fec18', 'size': 8, 'value': '0x0'}
{'instruction': 4162177, 'rip': '0x180c25d24', 'access': 'read', 'address': '0x7ffe1fec30', 'size': 8, 'value': '0x0'}
{'instruction': 4162177, 'rip': '0x180c25d24', 'access': 'write', 'address': '0x7ffe1fec28', 'size': 8, 'value': '0x1a'}
{'instruction': 4162178, 'rip': '0x180c25d27', 'access': 'read', 'address': '0x7ffe1fec28', 'size': 8, 'value': '0x0'}
{'instruction': 4162178, 'rip': '0x180c25d27', 'access': 'write', 'address': '0x7ffe1fec20', 'size': 8, 'value': '0x1a'}
{'instruction': 4162179, 'rip': '0x180c25d2a', 'access': 'read', 'address': '0x7ffe1fec20', 'size': 8, 'value': '0x0'}
{'instruction': 4162184, 'rip': '0x180c25955', 'access': 'read', 'address': '0x7ffe1fec38', 'size': 8, 'value': '0x0'}
{'instruction': 4162184, 'rip': '0x180c25955', 'access': 'write', 'address': '0x7ffe1fec30', 'size': 8, 'value': '0x1807dde10'}
{'instruction': 4162185, 'rip': '0x180c25958', 'access': 'read', 'address': '0x7ffe1fec30', 'size': 8, 'value': '0x0'}
{'instruction': 4162185, 'rip': '0x180c25958', 'access': 'write', 'address': '0x7ffe1fec28', 'size': 8, 'value': '0x1807dde10'}
{'instruction': 4162186, 'rip': '0x180c2595b', 'access': 'read', 'address': '0x7ffe1fec28', 'size': 8, 'value': '0x0'}
{'instruction': 4162191, 'rip': '0x180c25d5b', 'access': 'read', 'address': '0x7ffe1fec40', 'size': 8, 'value': '0x0'}
{'instruction': 4162191, 'rip': '0x180c25d5b', 'access': 'write', 'address': '0x7ffe1fec38', 'size': 8, 'value': '0x361a8e81'}
{'instruction': 4162192, 'rip': '0x180c25d5e', 'access': 'read', 'address': '0x7ffe1fec38', 'size': 8, 'value': '0x0'}
{'instruction': 4162192, 'rip': '0x180c25d5e', 'access': 'write', 'address': '0x7ffe1fec30', 'size': 8, 'value': '0x361a8e81'}
{'instruction': 4162193, 'rip': '0x180c25d61', 'access': 'read', 'address': '0x7ffe1fec30', 'size': 8, 'value': '0x0'}
{'instruction': 4162197, 'rip': '0x180c25d72', 'access': 'read', 'address': '0x7ffe1fec48', 'size': 8, 'value': '0x0'}
{'instruction': 4162197, 'rip': '0x180c25d72', 'access': 'write', 'address': '0x7ffe1fec40', 'size': 8, 'value': '0x8'}
{'instruction': 4162198, 'rip': '0x180c25d75', 'access': 'read', 'address': '0x7ffe1fec40', 'size': 8, 'value': '0x0'}
{'instruction': 4162198, 'rip': '0x180c25d75', 'access': 'write', 'address': '0x7ffe1fec38', 'size': 8, 'value': '0x8'}
{'instruction': 4162199, 'rip': '0x180c25d78', 'access': 'read', 'address': '0x7ffe1fec38', 'size': 8, 'value': '0x0'}
{'instruction': 4162202, 'rip': '0x180c25d84', 'access': 'read', 'address': '0x7ffe1fec50', 'size': 8, 'value': '0x0'}
{'instruction': 4162202, 'rip': '0x180c25d84', 'access': 'write', 'address': '0x7ffe1fec48', 'size': 8, 'value': '0x7ffe1fed30'}
{'instruction': 4162203, 'rip': '0x180c25d87', 'access': 'read', 'address': '0x7ffe1fec48', 'size': 8, 'value': '0x0'}
{'instruction': 4162203, 'rip': '0x180c25d87', 'access': 'write', 'address': '0x7ffe1fec40', 'size': 8, 'value': '0x7ffe1fed30'}
{'instruction': 4162204, 'rip': '0x180c25d8a', 'access': 'read', 'address': '0x7ffe1fec40', 'size': 8, 'value': '0x0'}
{'instruction': 4162208, 'rip': '0x180c25d9a', 'access': 'read', 'address': '0x7ffe1fec58', 'size': 8, 'value': '0x0'}
{'instruction': 4162209, 'rip': '0x180c25d9b', 'access': 'read', 'address': '0x7ffe1fec60', 'size': 8, 'value': '0x0'}
{'instruction': 4162211, 'rip': '0x180c25a53', 'access': 'read', 'address': '0x7ffe1fec68', 'size': 8, 'value': '0x0'}
