1296622 0x180a8319b 48c7c000040000 {'rax': '0x18098c969', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e030d0', 'rdx': '0x18018c880', 'rsi': '0x2', 'rdi': '0x61', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0xc9', 'r12': '0x817fde175a', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x61', 'rip': '0x180a8319b'}
1296623 0x180a831a2 4981ccf0000000 {'rax': '0x400', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e030d0', 'rdx': '0x18018c880', 'rsi': '0x2', 'rdi': '0x61', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0xc9', 'r12': '0x817fde175a', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x61', 'rip': '0x180a831a2'}
1296624 0x180a831a9 4801ef {'rax': '0x400', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e030d0', 'rdx': '0x18018c880', 'rsi': '0x2', 'rdi': '0x61', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0xc9', 'r12': '0x817fde17fa', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x61', 'rip': '0x180a831a9'}
1296625 0x180a831ac 4981f308000000 {'rax': '0x400', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e030d0', 'rdx': '0x18018c880', 'rsi': '0x2', 'rdi': '0x18098c8e5', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0xc9', 'r12': '0x817fde17fa', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x61', 'rip': '0x180a831ac'}
1296626 0x180a831b3 4d0fb7ff {'rax': '0x400', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e030d0', 'rdx': '0x18018c880', 'rsi': '0x2', 'rdi': '0x18098c8e5', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0xc1', 'r12': '0x817fde17fa', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x61', 'rip': '0x180a831b3'}
1296627 0x180a831b7 482d00080000 {'rax': '0x400', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e030d0', 'rdx': '0x18018c880', 'rsi': '0x2', 'rdi': '0x18098c8e5', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0xc1', 'r12': '0x817fde17fa', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x61', 'rip': '0x180a831b7'}
1296628 0x180a831bd 4c21e2 {'rax': '0xfffffffffffffc00', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e030d0', 'rdx': '0x18018c880', 'rsi': '0x2', 'rdi': '0x18098c8e5', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0xc1', 'r12': '0x817fde17fa', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x61', 'rip': '0x180a831bd'}
1296629 0x180a831c0 4901ef {'rax': '0xfffffffffffffc00', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e030d0', 'rdx': '0x100180080', 'rsi': '0x2', 'rdi': '0x18098c8e5', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0xc1', 'r12': '0x817fde17fa', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x61', 'rip': '0x180a831c0'}
1296630 0x180a831c3 4d8b3f {'rax': '0xfffffffffffffc00', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e030d0', 'rdx': '0x100180080', 'rsi': '0x2', 'rdi': '0x18098c8e5', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0xc1', 'r12': '0x817fde17fa', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x18098c8e5', 'rip': '0x180a831c3'}
1296631 0x180a831c6 4881e6ffff0000 {'rax': '0xfffffffffffffc00', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e030d0', 'rdx': '0x100180080', 'rsi': '0x2', 'rdi': '0x18098c8e5', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0xc1', 'r12': '0x817fde17fa', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x1c7aa206480', 'rip': '0x180a831c6'}
